Date,Sectors,AUC 1,AUC 2,Difference
15-Feb-25,Power,245274,217780,-27494
15-Feb-25,Realty,148075,133787,-14288
15-Feb-25,Services,130743,125907,-4836
15-Feb-25,Telecommunication,278276,290820,12544
15-Feb-25,Textiles,24558,22627,-1931
15-Feb-25,Utilities,2983,2722,-261
15-Feb-25,Sovereign,0,0,0
15-Feb-25,Others,47665,44831,-2834
15-Feb-25,Grand Total,6776336,6477847,-298489
28-Feb-23,Automobile and Auto Components,271579,261143,-10436
28-Feb-23,Capital Goods,135436,135845,409
28-Feb-23,Chemicals,96017,92854,-3163
28-Feb-23,Construction,79322,77000,-2322
28-Feb-23,Construction Materials,77610,77897,287
28-Feb-23,Consumer Durables,152506,149407,-3099
28-Feb-23,Consumer Services,105237,102991,-2246
28-Feb-23,Diversified,2961,2814,-147
28-Feb-23,Fast Moving Consumer Goods,329163,323108,-6055
28-Feb-23,Financial Services,1551087,1494557,-56530
28-Feb-23,Forest Materials,1808,1771,-37
28-Feb-23,Healthcare,226636,219723,-6913
28-Feb-23,Information Technology,539204,511446,-27758
28-Feb-23,"Media, Entertainment & Publication",18704,17107,-1597
28-Feb-23,Metals & Mining,133633,118820,-14813
28-Feb-23,"Oil, Gas & Consumable Fuels",472425,450791,-21634
28-Feb-23,Power,132716,123729,-8987
28-Feb-23,Realty,53285,50954,-2331
28-Feb-23,Services,66663,68240,1577
28-Feb-23,Telecommunication,119041,113635,-5406
28-Feb-23,Textiles,17083,16680,-403
28-Feb-23,Utilities,571,528,-43
28-Feb-23,Sovereign,0,0,0
28-Feb-23,Others,10788,10016,-772
28-Feb-23,Grand Total,4593478,4421059,-172419
28-Feb-25,Automobile and Auto Components,471157,435188,-35969
28-Feb-25,Capital Goods,301377,284893,-16484
28-Feb-25,Chemicals,109510,106791,-2719
28-Feb-25,Construction,115204,110402,-4802
28-Feb-25,Construction Materials,112011,102114,-9897
28-Feb-25,Consumer Durables,185483,179028,-6455
28-Feb-25,Consumer Services,274237,267418,-6819
28-Feb-25,Diversified,5487,5875,388
28-Feb-25,Fast Moving Consumer Goods,366455,346182,-20273
28-Feb-25,Financial Services,1933679,1923223,-10456
28-Feb-25,Forest Materials,3297,2955,-342
28-Feb-25,Healthcare,446659,425078,-21581
28-Feb-25,Information Technology,678374,615512,-62862
28-Feb-25,"Media, Entertainment & Publication",10875,10203,-672
28-Feb-25,Metals & Mining,180754,180267,-487
28-Feb-25,"Oil, Gas & Consumable Fuels",444814,436844,-7970
28-Feb-25,Power,217780,213106,-4674
28-Feb-25,Realty,133787,127585,-6202
28-Feb-25,Services,125907,126222,315
28-Feb-25,Telecommunication,290820,272360,-18460
28-Feb-25,Textiles,22627,21633,-994
28-Feb-25,Utilities,2722,2556,-166
28-Feb-25,Sovereign,0,0,0
28-Feb-25,Others,44831,43035,-1796
28-Feb-25,Grand Total,6477847,6238469,-239378
29-Feb-24,Automobile and Auto Components,439037,451765,12728
29-Feb-24,Capital Goods,278904,292549,13645
29-Feb-24,Chemicals,95487,95726,239
29-Feb-24,Construction,130403,136492,6089
29-Feb-24,Construction Materials,113814,116166,2352
29-Feb-24,Consumer Durables,195524,196896,1372
29-Feb-24,Consumer Services,207279,218267,10988
29-Feb-24,Diversified,4142,4174,32
29-Feb-24,Fast Moving Consumer Goods,398976,402006,3030
29-Feb-24,Financial Services,1820341,1821845,1504
29-Feb-24,Forest Materials,2806,2729,-77
29-Feb-24,Healthcare,378196,376424,-1772
29-Feb-24,Information Technology,654279,651058,-3221
29-Feb-24,"Media, Entertainment & Publication",14901,13719,-1182
29-Feb-24,Metals & Mining,185714,186641,927
29-Feb-24,"Oil, Gas & Consumable Fuels",617639,600850,-16789
29-Feb-24,Power,282996,283009,13
29-Feb-24,Realty,120938,128021,7083
29-Feb-24,Services,124752,129424,4672
29-Feb-24,Telecommunication,176274,178286,2012
29-Feb-24,Textiles,19460,19254,-206
29-Feb-24,Utilities,1164,1212,48
29-Feb-24,Sovereign,0,0,0
29-Feb-24,Others,20959,21185,226
29-Feb-24,Grand Total,6283985,6327698,43713
15-Feb-21,Automobiles & Auto Components,188502,208275,19773
15-Feb-21,Total Financial Services,1255342,1512370,257028
15-Feb-21,Banks,742513,893074,150561
15-Feb-21,Other Financial Services1,512829,619295,106466
15-Feb-21,Capital Goods,145781,164858,19077
15-Feb-21,Chemicals & Petrochemicals,52141,53693,1552
15-Feb-21,Coal,5434,5613,179
15-Feb-21,Commercial Services & Supplies,15123,21530,6407
15-Feb-21,Construction Materials,66611,80726,14115
15-Feb-21,Consumer Durables,86326,92035,5709
15-Feb-21,Diversified2,8681,9302,621
15-Feb-21,Diversified Consumer Services,2680,2847,167
15-Feb-21,Food & Drugs Retailing,1,1,0
15-Feb-21,"Food, Beverages & Tobacco",108584,112359,3775
15-Feb-21,Forest Materials,1345,1453,108
15-Feb-21,General Industrials,23759,26563,2804
15-Feb-21,Hardware Technology & Equipment,45,53,8
15-Feb-21,Healthcare Equipment & Supplies,184,265,81
15-Feb-21,Healthcare Services,37016,42477,5461
15-Feb-21,"Hotels, Restaurants & Tourism",20459,22599,2140
15-Feb-21,Household & Personal Products,142992,140928,-2064
15-Feb-21,Insurance,91234,96263,5029
15-Feb-21,Media,20530,20879,349
15-Feb-21,Metals & Mining,55694,64504,8810
15-Feb-21,Oil & Gas,346768,389713,42945
15-Feb-21,Pharmaceuticals & Biotechnology,154519,161361,6842
15-Feb-21,Real Estate Investment,0,0,0
15-Feb-21,Realty,34560,40508,5948
15-Feb-21,Retailing,53487,65126,11639
15-Feb-21,Software & Services,526311,545108,18797
15-Feb-21,Telecom Services,82813,88673,5860
15-Feb-21,Telecommunications Equipment,105,102,-3
15-Feb-21,"Textiles, Apparels & Accessories",40219,42128,1909
15-Feb-21,Transportation,44183,52083,7900
15-Feb-21,Airlines,10508,11105,597
15-Feb-21,Logistics,1962,2039,77
15-Feb-21,Marine Port & Services,19657,24516,4859
15-Feb-21,Roads & Highways,1774,2269,495
15-Feb-21,Shipping,962,894,-68
15-Feb-21,Surface Transportation,30,31,1
15-Feb-21,Transport Related Services,6075,7759,1684
15-Feb-21,Airport Services,3214,3470,256
15-Feb-21,Utilities3,83241,96610,13369
15-Feb-21,Sovereign,0,0,0
15-Feb-21,Others4,21049,17625,-3424
15-Feb-21,Grand Total,3715720,4178629,462909
15-Feb-22,Automobiles & Auto Components,209195,206795,-2400
15-Feb-22,Total Financial Services,1456978,1433303,-23675
15-Feb-22,Banks,849179,855653,6474
15-Feb-22,Other Financial Services1,607799,577650,-30149
15-Feb-22,Capital Goods,157971,152536,-5435
15-Feb-22,Chemicals & Petrochemicals,83920,81710,-2210
15-Feb-22,Coal,6912,7180,268
15-Feb-22,Commercial Services & Supplies,39956,40629,673
15-Feb-22,Construction Materials,90271,89911,-360
15-Feb-22,Consumer Durables,132957,132628,-329
15-Feb-22,Diversified2,14881,15543,662
15-Feb-22,Diversified Consumer Services,6985,6343,-642
15-Feb-22,Food & Drugs Retailing,433,392,-41
15-Feb-22,"Food, Beverages & Tobacco",121968,120466,-1502
15-Feb-22,Forest Materials,2237,2195,-42
15-Feb-22,General Industrials,38862,36649,-2213
15-Feb-22,Hardware Technology & Equipment,96,87,-9
15-Feb-22,Healthcare Equipment & Supplies,1805,1563,-242
15-Feb-22,Healthcare Services,58816,58672,-144
15-Feb-22,"Hotels, Restaurants & Tourism",34225,31785,-2440
15-Feb-22,Household & Personal Products,149290,148630,-660
15-Feb-22,Insurance,113983,103454,-10529
15-Feb-22,Media,21637,20238,-1399
15-Feb-22,Metals & Mining,101487,111365,9878
15-Feb-22,Oil & Gas,499576,496673,-2903
15-Feb-22,Pharmaceuticals & Biotechnology,156935,159340,2405
15-Feb-22,Real Estate Investment,0,0,0
15-Feb-22,Realty,64304,59887,-4417
15-Feb-22,Retailing,83304,81293,-2011
15-Feb-22,Software & Services,674361,669891,-4470
15-Feb-22,Telecom Services,117878,115172,-2706
15-Feb-22,Telecommunications Equipment,822,813,-9
15-Feb-22,"Textiles, Apparels & Accessories",74072,75200,1128
15-Feb-22,Transportation,60550,60911,361
15-Feb-22,Airlines,13143,15455,2312
15-Feb-22,Logistics,3327,2448,-879
15-Feb-22,Marine Port & Services,23617,23724,107
15-Feb-22,Roads & Highways,2301,2238,-63
15-Feb-22,Shipping,1306,1281,-25
15-Feb-22,Surface Transportation,138,127,-11
15-Feb-22,Transport Related Services,9752,8923,-829
15-Feb-22,Airport Services,6966,6715,-251
15-Feb-22,Utilities3,196674,190683,-5991
15-Feb-22,Sovereign,0,0,0
15-Feb-22,Others4,17636,16925,-711
15-Feb-22,Grand Total,4790976,4728861,-62115
28-Feb-21,Automobiles & Auto Components,208275,191159,-17116
28-Feb-21,Total Financial Services,1512370,1395789,-116581
28-Feb-21,Banks,893074,829312,-63762
28-Feb-21,Other Financial Services1,619295,566477,-52818
28-Feb-21,Capital Goods,164858,163588,-1270
28-Feb-21,Chemicals & Petrochemicals,53693,55327,1634
28-Feb-21,Coal,5613,6462,849
28-Feb-21,Commercial Services & Supplies,21530,23504,1974
28-Feb-21,Construction Materials,80726,77752,-2974
28-Feb-21,Consumer Durables,92035,88364,-3671
28-Feb-21,Diversified2,9302,9362,60
28-Feb-21,Diversified Consumer Services,2847,3040,193
28-Feb-21,Food & Drugs Retailing,1,1,0
28-Feb-21,"Food, Beverages & Tobacco",112359,106053,-6306
28-Feb-21,Forest Materials,1453,1533,80
28-Feb-21,General Industrials,26563,27389,826
28-Feb-21,Hardware Technology & Equipment,53,52,-1
28-Feb-21,Healthcare Equipment & Supplies,265,766,501
28-Feb-21,Healthcare Services,42477,41543,-934
28-Feb-21,"Hotels, Restaurants & Tourism",22599,23440,841
28-Feb-21,Household & Personal Products,140928,134906,-6022
28-Feb-21,Insurance,96263,96264,1
28-Feb-21,Media,20879,20478,-401
28-Feb-21,Metals & Mining,64504,71094,6590
28-Feb-21,Oil & Gas,389713,396896,7183
28-Feb-21,Pharmaceuticals & Biotechnology,161361,151148,-10213
28-Feb-21,Real Estate Investment,0,0,0
28-Feb-21,Realty,40508,39422,-1086
28-Feb-21,Retailing,65126,62299,-2827
28-Feb-21,Software & Services,545108,513009,-32099
28-Feb-21,Telecom Services,88673,87430,-1243
28-Feb-21,Telecommunications Equipment,102,105,3
28-Feb-21,"Textiles, Apparels & Accessories",42128,40491,-1637
28-Feb-21,Transportation,52083,54823,2740
28-Feb-21,Airlines,11105,10928,-177
28-Feb-21,Logistics,2039,2109,70
28-Feb-21,Marine Port & Services,24516,26521,2005
28-Feb-21,Roads & Highways,2269,2496,227
28-Feb-21,Shipping,894,1017,123
28-Feb-21,Surface Transportation,31,30,-1
28-Feb-21,Transport Related Services,7759,8159,400
28-Feb-21,Airport Services,3470,3563,93
28-Feb-21,Utilities3,96610,100713,4103
28-Feb-21,Sovereign,0,0,0
28-Feb-21,Others4,17625,25405,7780
28-Feb-21,Grand Total,4178629,4009610,-169019
28-Feb-22,Automobiles & Auto Components,206795,192841,-13954
28-Feb-22,Total Financial Services,1433303,1378160,-55143
28-Feb-22,Banks,855653,813917,-41736
28-Feb-22,Other Financial Services1,577650,564243,-13407
28-Feb-22,Capital Goods,152536,145593,-6943
28-Feb-22,Chemicals & Petrochemicals,81710,76958,-4752
28-Feb-22,Coal,7180,7358,178
28-Feb-22,Commercial Services & Supplies,40629,37773,-2856
28-Feb-22,Construction Materials,89911,81145,-8766
28-Feb-22,Consumer Durables,132628,130664,-1964
28-Feb-22,Diversified2,15543,14900,-643
28-Feb-22,Diversified Consumer Services,6343,6360,17
28-Feb-22,Food & Drugs Retailing,392,385,-7
28-Feb-22,"Food, Beverages & Tobacco",120466,118455,-2011
28-Feb-22,Forest Materials,2195,2193,-2
28-Feb-22,General Industrials,36649,35218,-1431
28-Feb-22,Hardware Technology & Equipment,87,78,-9
28-Feb-22,Healthcare Equipment & Supplies,1563,1584,21
28-Feb-22,Healthcare Services,58672,58171,-501
28-Feb-22,"Hotels, Restaurants & Tourism",31785,29971,-1814
28-Feb-22,Household & Personal Products,148630,142949,-5681
28-Feb-22,Insurance,103454,96240,-7214
28-Feb-22,Media,20238,17467,-2771
28-Feb-22,Metals & Mining,111365,115121,3756
28-Feb-22,Oil & Gas,496673,479755,-16918
28-Feb-22,Pharmaceuticals & Biotechnology,159340,153432,-5908
28-Feb-22,Real Estate Investment,0,0,0
28-Feb-22,Realty,59887,57520,-2367
28-Feb-22,Retailing,81293,80639,-654
28-Feb-22,Software & Services,669891,641185,-28706
28-Feb-22,Telecom Services,115172,108790,-6382
28-Feb-22,Telecommunications Equipment,813,738,-75
28-Feb-22,"Textiles, Apparels & Accessories",75200,74662,-538
28-Feb-22,Transportation,60911,56854,-4057
28-Feb-22,Airlines,15455,13095,-2360
28-Feb-22,Logistics,2448,2254,-194
28-Feb-22,Marine Port & Services,23724,23079,-645
28-Feb-22,Roads & Highways,2238,1988,-250
28-Feb-22,Shipping,1281,1299,18
28-Feb-22,Surface Transportation,127,125,-2
28-Feb-22,Transport Related Services,8923,8825,-98
28-Feb-22,Airport Services,6715,6189,-526
28-Feb-22,Utilities3,190683,195759,5076
28-Feb-22,Sovereign,0,0,0
28-Feb-22,Others4,16925,15938,-987
28-Feb-22,Grand Total,4728861,4554857,-174004
15-Feb-20,Automobiles & Auto Components,153410,148257,-5153
15-Feb-20,Total Financial Services,1159259,1170820,11561
15-Feb-20,Banks,674617,675462,845
15-Feb-20,Other Financial Services1,484641,495358,10717
15-Feb-20,Capital Goods,98122,94485,-3637
15-Feb-20,Chemicals & Petrochemicals,42797,45671,2874
15-Feb-20,Coal,9547,8927,-620
15-Feb-20,Commercial Services & Supplies,9438,9965,527
15-Feb-20,Construction Materials,59282,58881,-401
15-Feb-20,Consumer Durables,53811,55079,1268
15-Feb-20,Diversified2,7054,7466,412
15-Feb-20,Diversified Consumer Services,2815,2803,-12
15-Feb-20,Food & Drugs Retailing,0,0,0
15-Feb-20,"Food, Beverages & Tobacco",109785,106540,-3245
15-Feb-20,Forest Materials,1002,942,-60
15-Feb-20,General Industrials,15865,15851,-14
15-Feb-20,Hardware Technology & Equipment,55,59,4
15-Feb-20,Healthcare Equipment & Supplies,84,90,6
15-Feb-20,Healthcare Services,22962,23086,124
15-Feb-20,"Hotels, Restaurants & Tourism",14471,13924,-547
15-Feb-20,Household & Personal Products,109603,112792,3189
15-Feb-20,Insurance,78561,75287,-3274
15-Feb-20,Media,24813,22402,-2411
15-Feb-20,Metals & Mining,43798,45070,1272
15-Feb-20,Oil & Gas,280198,293524,13326
15-Feb-20,Pharmaceuticals & Biotechnology,104431,110056,5625
15-Feb-20,Real Estate Investment,0,0,0
15-Feb-20,Realty,35668,34051,-1617
15-Feb-20,Retailing,37787,44171,6384
15-Feb-20,Software & Services,344504,355889,11385
15-Feb-20,Telecom Services,80570,87054,6484
15-Feb-20,Telecommunications Equipment,151,144,-7
15-Feb-20,"Textiles, Apparels & Accessories",39736,40673,937
15-Feb-20,Transportation,40034,39814,-220
15-Feb-20,Airlines,8272,8466,194
15-Feb-20,Logistics,1802,1719,-83
15-Feb-20,Marine Port & Services,14845,14842,-3
15-Feb-20,Roads & Highways,1788,1675,-113
15-Feb-20,Shipping,1190,1118,-72
15-Feb-20,Surface Transportation,38,37,-1
15-Feb-20,Transport Related Services,9403,9235,-168
15-Feb-20,Airport Services,2697,2722,25
15-Feb-20,Utilities3,86336,85191,-1145
15-Feb-20,Sovereign,0,0,0
15-Feb-20,Others4,12180,18392,6212
15-Feb-20,Grand Total,3078129,3127357,49228
29-Feb-20,Automobiles & Auto Components,148236,131467,-16769
29-Feb-20,Total Financial Services,1168356,1089379,-78977
29-Feb-20,Banks,674606,638225,-36381
29-Feb-20,Other Financial Services1,493751,451154,-42597
29-Feb-20,Capital Goods,93276,82518,-10758
29-Feb-20,Chemicals & Petrochemicals,45662,42379,-3283
29-Feb-20,Coal,8927,8662,-265
29-Feb-20,Commercial Services & Supplies,9904,8591,-1313
29-Feb-20,Construction Materials,58873,55591,-3282
29-Feb-20,Consumer Durables,55080,53024,-2056
29-Feb-20,Diversified2,7466,6818,-648
29-Feb-20,Diversified Consumer Services,2803,2721,-82
29-Feb-20,Food & Drugs Retailing,0,0,0
29-Feb-20,"Food, Beverages & Tobacco",106534,100171,-6363
29-Feb-20,Forest Materials,942,863,-79
29-Feb-20,General Industrials,15851,14578,-1273
29-Feb-20,Hardware Technology & Equipment,59,56,-3
29-Feb-20,Healthcare Equipment & Supplies,90,83,-7
29-Feb-20,Healthcare Services,23086,22894,-192
29-Feb-20,"Hotels, Restaurants & Tourism",13924,13615,-309
29-Feb-20,Household & Personal Products,112792,107712,-5080
29-Feb-20,Insurance,75287,72516,-2771
29-Feb-20,Media,22402,22024,-378
29-Feb-20,Metals & Mining,44989,37171,-7818
29-Feb-20,Oil & Gas,293512,262866,-30646
29-Feb-20,Pharmaceuticals & Biotechnology,109991,100330,-9661
29-Feb-20,Real Estate Investment,0,0,0
29-Feb-20,Realty,34051,30581,-3470
29-Feb-20,Retailing,44171,43172,-999
29-Feb-20,Software & Services,355821,325215,-30606
29-Feb-20,Telecom Services,87054,80612,-6442
29-Feb-20,Telecommunications Equipment,143,125,-18
29-Feb-20,"Textiles, Apparels & Accessories",40673,38925,-1748
29-Feb-20,Transportation,39811,36051,-3760
29-Feb-20,Airlines,8466,7484,-982
29-Feb-20,Logistics,1715,1636,-79
29-Feb-20,Marine Port & Services,14842,13825,-1017
29-Feb-20,Roads & Highways,1675,1366,-309
29-Feb-20,Shipping,1118,968,-150
29-Feb-20,Surface Transportation,37,34,-3
29-Feb-20,Transport Related Services,9235,8356,-879
29-Feb-20,Airport Services,2722,2383,-339
29-Feb-20,Utilities3,85190,78404,-6786
29-Feb-20,Sovereign,0,0,0
29-Feb-20,Others4,22400,17819,-4581
29-Feb-20,Grand Total,3127357,2886931,-240426
15-Jan-23,Automobile and Auto Components,258501,261177,2676
15-Jan-23,Capital Goods,128667,131201,2534
15-Jan-23,Chemicals,99657,97555,-2102
15-Jan-23,Construction,74950,77599,2649
15-Jan-23,Construction Materials,82781,83547,766
15-Jan-23,Consumer Durables,162351,156655,-5696
15-Jan-23,Consumer Services,117078,110006,-7072
15-Jan-23,Diversified,1533,1553,20
15-Jan-23,Fast Moving Consumer Goods,328790,326024,-2766
15-Jan-23,Financial Services,1593155,1567289,-25866
15-Jan-23,Forest Materials,1854,1897,43
15-Jan-23,Healthcare,232296,232803,507
15-Jan-23,Information Technology,505182,508061,2879
15-Jan-23,"Media, Entertainment & Publication",20699,20185,-514
15-Jan-23,Metals & Mining,172603,177024,4421
15-Jan-23,"Oil, Gas & Consumable Fuels",553080,540091,-12989
15-Jan-23,Power,208250,208015,-235
15-Jan-23,Realty,56810,56137,-673
15-Jan-23,Services,78726,78379,-347
15-Jan-23,Telecommunication,126212,119367,-6845
15-Jan-23,Textiles,19363,18572,-791
15-Jan-23,Utilities,580,584,4
15-Jan-23,Sovereign,0,0,0
15-Jan-23,Others,11328,11094,-234
15-Jan-23,Grand Total,4834447,4784816,-49631
15-Jan-24,,,,
15-Jan-24,,,,
15-Jan-24,,,,
15-Jan-24,Automobile and Auto Components,411001,410834,-167
15-Jan-24,Capital Goods,270580,272530,1950
15-Jan-24,Chemicals,103541,102290,-1251
15-Jan-24,Construction,137915,139948,2033
15-Jan-24,Construction Materials,117638,114684,-2954
15-Jan-24,Consumer Durables,203322,206340,3018
15-Jan-24,Consumer Services,183131,191113,7982
15-Jan-24,Diversified,4560,4481,-79
15-Jan-24,Fast Moving Consumer Goods,419522,417392,-2130
15-Jan-24,Financial Services,1947278,1962086,14808
15-Jan-24,Forest Materials,2639,2954,315
15-Jan-24,Healthcare,333871,346190,12319
15-Jan-24,Information Technology,600018,628455,28437
15-Jan-24,"Media, Entertainment & Publication",19058,17476,-1582
15-Jan-24,Metals & Mining,188163,187815,-348
15-Jan-24,"Oil, Gas & Consumable Fuels",519314,558860,39546
15-Jan-24,Power,248719,260641,11922
15-Jan-24,Realty,108114,123198,15084
15-Jan-24,Services,110353,120804,10451
15-Jan-24,Telecommunication,164846,175730,10884
15-Jan-24,Textiles,19261,19520,259
15-Jan-24,Utilities,1102,1163,61
15-Jan-24,Sovereign,0,0,0
15-Jan-24,Others,18210,19149,939
15-Jan-24,Grand Total,6132155,6283655,151500
15-Jan-25,Automobile and Auto Components,505062,498326,-6736
15-Jan-25,Capital Goods,386345,350248,-36097
15-Jan-25,Chemicals,112261,110954,-1307
15-Jan-25,Construction,139955,130937,-9018
15-Jan-25,Construction Materials,117666,109982,-7684
15-Jan-25,Consumer Durables,218756,205428,-13328
15-Jan-25,Consumer Services,344723,309034,-35689
15-Jan-25,Diversified,7626,6632,-994
15-Jan-25,Fast Moving Consumer Goods,408978,391878,-17100
15-Jan-25,Financial Services,2049709,1947105,-102604
15-Jan-25,Forest Materials,4153,3451,-702
15-Jan-25,Healthcare,507781,472926,-34855
15-Jan-25,Information Technology,729200,727585,-1615
15-Jan-25,"Media, Entertainment & Publication",12731,12258,-473
15-Jan-25,Metals & Mining,195062,184858,-10204
15-Jan-25,"Oil, Gas & Consumable Fuels",469976,471682,1706
15-Jan-25,Power,262170,249371,-12799
15-Jan-25,Realty,170007,148998,-21009
15-Jan-25,Services,142879,131575,-11304
15-Jan-25,Telecommunication,272674,275404,2730
15-Jan-25,Textiles,27119,26044,-1075
15-Jan-25,Utilities,3490,3250,-240
15-Jan-25,Sovereign,0,0,0
15-Jan-25,Others,31116,31727,611
15-Jan-25,Grand Total,7119441,6799652,-319789
31-Jan-23,Automobile and Auto Components,261486,272312,10826
31-Jan-23,Capital Goods,130892,130782,-110
31-Jan-23,Chemicals,98692,95788,-2904
31-Jan-23,Construction,77599,77749,150
31-Jan-23,Construction Materials,83547,77538,-6009
31-Jan-23,Consumer Durables,156655,149353,-7302
31-Jan-23,Consumer Services,110006,104336,-5670
31-Jan-23,Diversified,3112,3080,-32
31-Jan-23,Fast Moving Consumer Goods,323334,322753,-581
31-Jan-23,Financial Services,1567289,1512278,-55011
31-Jan-23,Forest Materials,1897,1915,18
31-Jan-23,Healthcare,232803,227272,-5531
31-Jan-23,Information Technology,507447,517061,9614
31-Jan-23,"Media, Entertainment & Publication",20185,19247,-938
31-Jan-23,Metals & Mining,177024,162632,-14392
31-Jan-23,"Oil, Gas & Consumable Fuels",540091,487290,-52801
31-Jan-23,Power,208015,170738,-37277
31-Jan-23,Realty,56137,53874,-2263
31-Jan-23,Services,78993,70212,-8781
31-Jan-23,Telecommunication,119367,116219,-3148
31-Jan-23,Textiles,18572,18278,-294
31-Jan-23,Utilities,584,568,-16
31-Jan-23,Sovereign,0,0,0
31-Jan-23,Others,11088,11613,525
31-Jan-23,Grand Total,4784816,4602889,-181927
31-Jan-24,Automobile and Auto Components,410834,420703,9869
31-Jan-24,Capital Goods,272530,279625,7095
31-Jan-24,Chemicals,102290,96938,-5352
31-Jan-24,Construction,139948,140676,728
31-Jan-24,Construction Materials,114684,118325,3641
31-Jan-24,Consumer Durables,206340,195445,-10895
31-Jan-24,Consumer Services,191113,190130,-983
31-Jan-24,Diversified,4481,4705,224
31-Jan-24,Fast Moving Consumer Goods,417392,406935,-10457
31-Jan-24,Financial Services,1962086,1842078,-120008
31-Jan-24,Forest Materials,2954,3017,63
31-Jan-24,Healthcare,346190,358917,12727
31-Jan-24,Information Technology,628455,626303,-2152
31-Jan-24,"Media, Entertainment & Publication",17476,14822,-2654
31-Jan-24,Metals & Mining,187815,187824,9
31-Jan-24,"Oil, Gas & Consumable Fuels",558860,579667,20807
31-Jan-24,Power,260641,270052,9411
31-Jan-24,Realty,123198,118260,-4938
31-Jan-24,Services,120804,117408,-3396
31-Jan-24,Telecommunication,175730,186443,10713
31-Jan-24,Textiles,19520,19735,215
31-Jan-24,Utilities,1163,1175,12
31-Jan-24,Sovereign,0,0,0
31-Jan-24,Others,19149,20271,1122
31-Jan-24,Grand Total,6283655,6199452,-84203
31-Jan-25,Automobile and Auto Components,498326,494578,-3748
31-Jan-25,Capital Goods,350248,345699,-4549
31-Jan-25,Chemicals,110954,115367,4413
31-Jan-25,Construction,130937,131793,856
31-Jan-25,Construction Materials,109982,116187,6205
31-Jan-25,Consumer Durables,205428,197231,-8197
31-Jan-25,Consumer Services,309034,291085,-17949
31-Jan-25,Diversified,6632,6300,-332
31-Jan-25,Fast Moving Consumer Goods,391878,395306,3428
31-Jan-25,Financial Services,1947105,1966433,19328
31-Jan-25,Forest Materials,3451,3524,73
31-Jan-25,Healthcare,472926,467065,-5861
31-Jan-25,Information Technology,727585,698631,-28954
31-Jan-25,"Media, Entertainment & Publication",12258,11593,-665
31-Jan-25,Metals & Mining,184858,186285,1427
31-Jan-25,"Oil, Gas & Consumable Fuels",471682,471684,2
31-Jan-25,Power,249371,245274,-4097
31-Jan-25,Realty,148998,148075,-923
31-Jan-25,Services,131575,130743,-832
31-Jan-25,Telecommunication,275404,278276,2872
31-Jan-25,Textiles,26044,24558,-1486
31-Jan-25,Utilities,3250,2983,-267
31-Jan-25,Sovereign,0,0,0
31-Jan-25,Others,31727,47665,15938
31-Jan-25,Grand Total,6799652,6776336,-23316
15-Jul-23,Automobile and Auto Components,332454,343173,10719
15-Jul-23,Capital Goods,181174,188798,7624
15-Jul-23,Chemicals,101059,96932,-4127
15-Jul-23,Construction,96781,97962,1181
15-Jul-23,Construction Materials,92153,91750,-403
15-Jul-23,Consumer Durables,179011,182312,3301
15-Jul-23,Consumer Services,131039,133362,2323
15-Jul-23,Diversified,3452,3371,-81
15-Jul-23,Fast Moving Consumer Goods,379879,392134,12255
15-Jul-23,Financial Services,1733987,1557024,-176963
15-Jul-23,Forest Materials,2042,1971,-71
15-Jul-23,Healthcare,270487,276053,5566
15-Jul-23,Information Technology,488869,513832,24963
15-Jul-23,"Media, Entertainment & Publication",15651,17482,1831
15-Jul-23,Metals & Mining,156185,161270,5085
15-Jul-23,"Oil, Gas & Consumable Fuels",486943,522256,35313
15-Jul-23,Power,162339,160512,-1827
15-Jul-23,Realty,70561,73636,3075
15-Jul-23,Services,90710,91916,1206
15-Jul-23,Telecommunication,133602,137302,3700
15-Jul-23,Textiles,17038,16942,-96
15-Jul-23,Utilities,837,871,34
15-Jul-23,Sovereign,0,0,0
15-Jul-23,Others,12325,141859,129534
15-Jul-23,Grand Total,5138579,5202721,64142
31-Jul-23,Automobile and Auto Components,343173,345726,2553
31-Jul-23,Capital Goods,188798,203513,14715
31-Jul-23,Chemicals,96932,96354,-578
31-Jul-23,Construction,97962,107868,9906
31-Jul-23,Construction Materials,91750,94048,2298
31-Jul-23,Consumer Durables,182312,182978,666
31-Jul-23,Consumer Services,133362,134850,1488
31-Jul-23,Diversified,3371,3318,-53
31-Jul-23,Fast Moving Consumer Goods,392134,387151,-4983
31-Jul-23,Financial Services,1557024,1771057,214033
31-Jul-23,Forest Materials,1971,2082,111
31-Jul-23,Healthcare,276053,289657,13604
31-Jul-23,Information Technology,513832,497985,-15847
31-Jul-23,"Media, Entertainment & Publication",17482,18973,1491
31-Jul-23,Metals & Mining,161270,168563,7293
31-Jul-23,"Oil, Gas & Consumable Fuels",522256,496204,-26052
31-Jul-23,Power,160512,180594,20082
31-Jul-23,Realty,73636,77502,3866
31-Jul-23,Services,91916,94562,2646
31-Jul-23,Telecommunication,137302,140026,2724
31-Jul-23,Textiles,16942,17388,446
31-Jul-23,Utilities,871,914,43
31-Jul-23,Sovereign,0,0,0
31-Jul-23,Others,141859,12975,-128884
31-Jul-23,Grand Total,5202721,5324288,121567
15-Jun-23,Automobile and Auto Components,306665,317930,11265
15-Jun-23,Capital Goods,160343,175464,15121
15-Jun-23,Chemicals,101104,100867,-237
15-Jun-23,Construction,84330,91310,6980
