Date,Sector,AUC as on Date
15-Apr-21,Diversified2,9425
15-Apr-21,Diversified Consumer Services,2845
15-Apr-21,Food & Drugs Retailing,0
15-Apr-21,Realty,38541
15-Apr-21,"Food, Beverages & Tobacco",109688
15-Apr-21,General Industrials,27133
15-Apr-21,Hardware Technology & Equipment,39
15-Apr-21,Healthcare Equipment & Supplies,1144
15-Apr-21,Healthcare Services,45186
15-Apr-21,"Hotels, Restaurants & Tourism",21266
15-Apr-21,Roads & Highways,2189
15-Apr-21,Household & Personal Products,153635
15-Apr-21,Insurance,100352
15-Apr-21,Pharmaceuticals & Biotechnology,161761
15-Apr-21,Oil & Gas,384569
15-Apr-21,Forest Materials,1302
15-Apr-21,Retailing,58060
15-Apr-21,Media,19618
15-Apr-21,Banks,771012
15-Apr-21,Total Financial Services,1322261
15-Apr-21,Automobiles & Auto Components,183909
15-Apr-21,,
15-Apr-21,,
15-Apr-21,,"AUC as on April 15, 2021"
15-Apr-21,Marine Port & Services,28064
15-Apr-21,Logistics,2205
15-Apr-21,Airlines,11748
15-Apr-21,Transportation,57295
15-Apr-21,"Textiles, Apparels & Accessories",44067
15-Apr-21,Telecommunications Equipment,97
15-Apr-21,Metals & Mining,85339
15-Apr-21,Software & Services,557647
30-Apr-21,Commercial Services & Supplies,30368
30-Apr-21,Other Financial Services1,547137
30-Apr-21,Chemicals & Petrochemicals,65435
30-Apr-21,Capital Goods,154076
30-Apr-21,Banks,779266
30-Apr-21,Total Financial Services,1326403
30-Apr-21,Automobiles & Auto Components,181702
30-Apr-21,,
30-Apr-21,,
30-Apr-21,,"AUC as on April 30, 2021"
30-Apr-21,Coal,5416
30-Apr-21,Telecom Services,86822
30-Apr-21,Food & Drugs Retailing,0
30-Apr-21,Diversified Consumer Services,2784
30-Apr-21,Utilities3,111444
30-Apr-21,Airport Services,3442
30-Apr-21,Transport Related Services,8821
30-Apr-21,Software & Services,545666
30-Apr-21,Surface Transportation,40
30-Apr-21,Shipping,1070
30-Apr-21,Sovereign,0
30-Apr-21,Construction Materials,83912
30-Apr-21,Marine Port & Services,26579
30-Apr-21,Logistics,2302
30-Apr-21,Airlines,12078
30-Apr-21,Transportation,56686
30-Apr-21,"Textiles, Apparels & Accessories",43302
30-Apr-21,Telecommunications Equipment,102
30-Apr-21,Roads & Highways,2353
30-Apr-21,Diversified2,9946
30-Apr-21,Others4,22892
30-Apr-21,Retailing,59408
30-Apr-21,"Food, Beverages & Tobacco",108694
30-Apr-21,Forest Materials,1408
30-Apr-21,General Industrials,28854
30-Apr-21,Hardware Technology & Equipment,39
30-Apr-21,Healthcare Equipment & Supplies,1326
30-Apr-21,Healthcare Services,46607
30-Apr-21,"Hotels, Restaurants & Tourism",22823
30-Apr-21,Grand Total,4052276
30-Apr-21,Household & Personal Products,148088
30-Apr-21,Media,19909
30-Apr-21,Metals & Mining,92968
30-Apr-21,Oil & Gas,393319
30-Apr-21,Pharmaceuticals & Biotechnology,167954
30-Apr-21,Real Estate Investment,0
30-Apr-21,Realty,40049
30-Apr-21,Insurance,101313
30-Apr-21,Consumer Durables,92560
15-May-21,Others4,23740
15-May-21,Sovereign,0
15-May-21,Grand Total,4065092
15-May-21,Airport Services,3826
15-May-21,Capital Goods,161151
15-May-21,Chemicals & Petrochemicals,69973
15-May-21,Coal,6040
15-May-21,Commercial Services & Supplies,31836
15-May-21,Construction Materials,84246
15-May-21,Consumer Durables,96773
15-May-21,Diversified2,9704
15-May-21,Diversified Consumer Services,2723
15-May-21,"Food, Beverages & Tobacco",112996
15-May-21,Other Financial Services1,547149
15-May-21,Forest Materials,1438
15-May-21,Hardware Technology & Equipment,42
15-May-21,Healthcare Equipment & Supplies,1381
15-May-21,Healthcare Services,45286
15-May-21,"Hotels, Restaurants & Tourism",22363
15-May-21,Household & Personal Products,155517
15-May-21,Insurance,102289
15-May-21,Media,20028
15-May-21,Metals & Mining,97842
15-May-21,Utilities3,117695
15-May-21,General Industrials,29895
15-May-21,Banks,761479
15-May-21,Food & Drugs Retailing,0
15-May-21,Automobiles & Auto Components,182930
15-May-21,Transport Related Services,8691
15-May-21,Total Financial Services,1308628
15-May-21,Surface Transportation,40
15-May-21,Shipping,1452
15-May-21,Roads & Highways,2255
15-May-21,Marine Port & Services,26780
15-May-21,Logistics,2421
15-May-21,Transportation,58038
15-May-21,"Textiles, Apparels & Accessories",40692
15-May-21,Telecommunications Equipment,135
15-May-21,Airlines,12573
15-May-21,Software & Services,540000
15-May-21,,
15-May-21,Telecom Services,88588
15-May-21,,"AUC as on May 15, 2021"
15-May-21,Oil & Gas,386645
15-May-21,Pharmaceuticals & Biotechnology,171607
15-May-21,,
15-May-21,Realty,39102
15-May-21,Retailing,55767
15-May-21,Real Estate Investment,0
31-May-21,Telecommunications Equipment,171
31-May-21,Oil & Gas,426238
31-May-21,Pharmaceuticals & Biotechnology,175942
31-May-21,Metals & Mining,99133
31-May-21,Real Estate Investment,0
31-May-21,Realty,43106
31-May-21,Retailing,57917
31-May-21,Software & Services,568065
31-May-21,Telecom Services,83978
31-May-21,"Textiles, Apparels & Accessories",45768
31-May-21,Sovereign,0
31-May-21,Airlines,13158
31-May-21,Logistics,2671
31-May-21,Marine Port & Services,28084
31-May-21,Roads & Highways,2340
31-May-21,Shipping,1548
31-May-21,Surface Transportation,75
31-May-21,Airport Services,3906
31-May-21,Utilities3,126722
31-May-21,Media,21125
31-May-21,Transportation,62274
31-May-21,Insurance,101959
31-May-21,,
31-May-21,"Hotels, Restaurants & Tourism",25413
31-May-21,,"AUC as on May 31, 2021"
31-May-21,Others4,21760
31-May-21,,
31-May-21,Automobiles & Auto Components,197473
31-May-21,Total Financial Services,1419879
31-May-21,Banks,839817
31-May-21,Other Financial Services1,580062
31-May-21,Capital Goods,171035
31-May-21,Chemicals & Petrochemicals,74290
31-May-21,Coal,6056
31-May-21,Household & Personal Products,156058
31-May-21,Commercial Services & Supplies,34811
31-May-21,Consumer Durables,103478
31-May-21,Diversified2,10186
31-May-21,Diversified Consumer Services,2999
31-May-21,Food & Drugs Retailing,0
31-May-21,"Food, Beverages & Tobacco",114978
31-May-21,Forest Materials,1579
31-May-21,General Industrials,32207
31-May-21,Hardware Technology & Equipment,38
31-May-21,Healthcare Equipment & Supplies,1404
31-May-21,Healthcare Services,46092
31-May-21,Construction Materials,89195
31-May-21,Grand Total,4321328
31-May-21,Transport Related Services,10491
15-Jun-21,Capital Goods,175494
15-Jun-21,Healthcare Equipment & Supplies,1310
15-Jun-21,Healthcare Services,48736
15-Jun-21,"Hotels, Restaurants & Tourism",26360
15-Jun-21,Household & Personal Products,162816
15-Jun-21,Insurance,106561
15-Jun-21,Metals & Mining,101385
15-Jun-21,Oil & Gas,447966
15-Jun-21,Pharmaceuticals & Biotechnology,180249
15-Jun-21,Real Estate Investment,0
15-Jun-21,Realty,45862
15-Jun-21,Retailing,63371
15-Jun-21,Software & Services,592586
15-Jun-21,Telecom Services,87947
15-Jun-21,Telecommunications Equipment,193
15-Jun-21,"Textiles, Apparels & Accessories",49119
15-Jun-21,Transportation,63075
15-Jun-21,Chemicals & Petrochemicals,78522
15-Jun-21,Other Financial Services1,602485
15-Jun-21,Banks,833277
15-Jun-21,Total Financial Services,1435763
15-Jun-21,Automobiles & Auto Components,201815
15-Jun-21,,
15-Jun-21,,
15-Jun-21,,"AUC as on June 15, 2021"
15-Jun-21,Coal,6511
15-Jun-21,Hardware Technology & Equipment,27
15-Jun-21,General Industrials,34663
15-Jun-21,Media,22151
15-Jun-21,"Food, Beverages & Tobacco",114041
15-Jun-21,Forest Materials,1695
15-Jun-21,Grand Total,4467296
15-Jun-21,Others4,30726
15-Jun-21,Sovereign,0
15-Jun-21,Utilities3,135579
15-Jun-21,Airport Services,4610
15-Jun-21,Surface Transportation,92
15-Jun-21,Shipping,1550
15-Jun-21,Roads & Highways,2456
15-Jun-21,Transport Related Services,10432
15-Jun-21,Logistics,2852
15-Jun-21,Food & Drugs Retailing,1
15-Jun-21,Marine Port & Services,27661
15-Jun-21,Diversified2,11423
15-Jun-21,Consumer Durables,107947
15-Jun-21,Diversified Consumer Services,3141
15-Jun-21,Commercial Services & Supplies,39636
15-Jun-21,Airlines,13423
15-Jun-21,Construction Materials,90626
30-Jun-21,Surface Transportation,89
30-Jun-21,Metals & Mining,98177
30-Jun-21,Diversified2,11705
30-Jun-21,Transport Related Services,10731
30-Jun-21,Airport Services,4821
30-Jun-21,Utilities3,122550
30-Jun-21,Sovereign,0
30-Jun-21,Others4,27724
30-Jun-21,Grand Total,4397960
30-Jun-21,Media,20521
30-Jun-21,Hardware Technology & Equipment,34
30-Jun-21,Household & Personal Products,164386
30-Jun-21,"Hotels, Restaurants & Tourism",25617
30-Jun-21,Healthcare Services,51701
30-Jun-21,Diversified Consumer Services,3146
30-Jun-21,Food & Drugs Retailing,1
30-Jun-21,"Food, Beverages & Tobacco",116113
30-Jun-21,Forest Materials,1789
30-Jun-21,General Industrials,36096
30-Jun-21,Healthcare Equipment & Supplies,1449
30-Jun-21,Shipping,1491
30-Jun-21,Insurance,109880
30-Jun-21,Pharmaceuticals & Biotechnology,180523
30-Jun-21,Roads & Highways,2641
30-Jun-21,Logistics,2784
30-Jun-21,Real Estate Investment,0
30-Jun-21,Realty,44119
30-Jun-21,Retailing,63138
30-Jun-21,Software & Services,616380
30-Jun-21,Telecom Services,84052
30-Jun-21,Telecommunications Equipment,255
30-Jun-21,"Textiles, Apparels & Accessories",48880
30-Jun-21,Consumer Durables,121776
30-Jun-21,,"AUC as on June 30, 2021"
30-Jun-21,,
30-Jun-21,Marine Port & Services,23799
30-Jun-21,,
30-Jun-21,Total Financial Services,1407853
30-Jun-21,Banks,821752
30-Jun-21,Other Financial Services1,586101
30-Jun-21,Capital Goods,155881
30-Jun-21,Chemicals & Petrochemicals,78212
30-Jun-21,Coal,5952
30-Jun-21,Commercial Services & Supplies,38919
30-Jun-21,Oil & Gas,410131
30-Jun-21,Transportation,59168
30-Jun-21,Airlines,12812
30-Jun-21,Automobiles & Auto Components,200913
30-Jun-21,Construction Materials,90919
15-Jul-21,,"AUC as on July 15, 2021"
15-Jul-21,Others4,28140
15-Jul-21,Healthcare Services,53982
15-Jul-21,Healthcare Equipment & Supplies,1414
15-Jul-21,Hardware Technology & Equipment,36
15-Jul-21,General Industrials,37127
15-Jul-21,Forest Materials,1913
15-Jul-21,"Food, Beverages & Tobacco",116742
15-Jul-21,Food & Drugs Retailing,2
15-Jul-21,Diversified Consumer Services,3405
15-Jul-21,Diversified2,12031
15-Jul-21,"Hotels, Restaurants & Tourism",26371
15-Jul-21,Consumer Durables,125538
15-Jul-21,Commercial Services & Supplies,37754
15-Jul-21,Coal,5942
15-Jul-21,Chemicals & Petrochemicals,82318
15-Jul-21,Capital Goods,153963
15-Jul-21,Other Financial Services1,607281
15-Jul-21,Banks,843662
15-Jul-21,Total Financial Services,1450942
15-Jul-21,Automobiles & Auto Components,199211
15-Jul-21,,
15-Jul-21,Construction Materials,97012
15-Jul-21,Household & Personal Products,166065
15-Jul-21,Insurance,116095
15-Jul-21,Media,20656
15-Jul-21,Sovereign,0
15-Jul-21,Utilities3,120599
15-Jul-21,Airport Services,4785
15-Jul-21,Transport Related Services,10176
15-Jul-21,Surface Transportation,88
15-Jul-21,Shipping,1472
15-Jul-21,Roads & Highways,2744
15-Jul-21,Marine Port & Services,23535
15-Jul-21,Logistics,2857
15-Jul-21,Airlines,13635
15-Jul-21,Transportation,59291
15-Jul-21,"Textiles, Apparels & Accessories",50600
15-Jul-21,Telecommunications Equipment,304
15-Jul-21,Telecom Services,84009
15-Jul-21,Software & Services,619169
15-Jul-21,Retailing,65349
15-Jul-21,Realty,50105
15-Jul-21,Real Estate Investment,0
15-Jul-21,Pharmaceuticals & Biotechnology,183285
15-Jul-21,Oil & Gas,402535
15-Jul-21,Metals & Mining,104700
15-Jul-21,Grand Total,4476607
15-Jul-21,,
31-Jul-21,Telecommunications Equipment,306
31-Jul-21,Telecom Services,87189
31-Jul-21,Construction Materials,100142
31-Jul-21,Consumer Durables,128050
31-Jul-21,Diversified2,13507
31-Jul-21,Diversified Consumer Services,3648
31-Jul-21,Food & Drugs Retailing,4
31-Jul-21,"Food, Beverages & Tobacco",114964
31-Jul-21,Forest Materials,2076
31-Jul-21,General Industrials,37741
31-Jul-21,Healthcare Equipment & Supplies,1451
31-Jul-21,Healthcare Services,56871
31-Jul-21,"Hotels, Restaurants & Tourism",30167
31-Jul-21,Household & Personal Products,165211
31-Jul-21,Insurance,115366
31-Jul-21,Media,19776
31-Jul-21,Metals & Mining,115448
31-Jul-21,Oil & Gas,394264
31-Jul-21,Pharmaceuticals & Biotechnology,180700
31-Jul-21,Real Estate Investment,0
31-Jul-21,Realty,50794
31-Jul-21,Retailing,76012
31-Jul-21,Software & Services,625884
31-Jul-21,Commercial Services & Supplies,37887
31-Jul-21,Coal,5865
31-Jul-21,Hardware Technology & Equipment,35
31-Jul-21,Capital Goods,150962
31-Jul-21,Grand Total,4429417
31-Jul-21,Chemicals & Petrochemicals,82703
31-Jul-21,Others4,27929
31-Jul-21,Sovereign,0
31-Jul-21,Utilities3,109509
31-Jul-21,Airport Services,4372
31-Jul-21,Transport Related Services,9755
31-Jul-21,Surface Transportation,88
31-Jul-21,Roads & Highways,2631
31-Jul-21,Marine Port & Services,22319
31-Jul-21,Logistics,3154
31-Jul-21,Shipping,1295
31-Jul-21,Transportation,55869
31-Jul-21,Other Financial Services1,594683
31-Jul-21,Airlines,12255
31-Jul-21,Total Financial Services,1396742
31-Jul-21,Automobiles & Auto Components,191015
31-Jul-21,,
31-Jul-21,Banks,802059
31-Jul-21,,"AUC as on July 31, 2021"
31-Jul-21,"Textiles, Apparels & Accessories",51330
31-Jul-21,,
15-Aug-21,"Textiles, Apparels & Accessories",53349
15-Aug-21,Pharmaceuticals & Biotechnology,178810
15-Aug-21,Real Estate Investment,0
15-Aug-21,Realty,50281
15-Aug-21,Retailing,77471
15-Aug-21,Software & Services,672046
15-Aug-21,Telecom Services,95341
15-Aug-21,Oil & Gas,411414
15-Aug-21,Transportation,56868
15-Aug-21,Others4,27559
15-Aug-21,Logistics,3106
15-Aug-21,Marine Port & Services,22990
15-Aug-21,Roads & Highways,2528
15-Aug-21,Shipping,1146
15-Aug-21,Surface Transportation,87
15-Aug-21,Transport Related Services,10275
15-Aug-21,Airport Services,4306
15-Aug-21,Utilities3,122217
15-Aug-21,Sovereign,0
15-Aug-21,Metals & Mining,115314
15-Aug-21,Airlines,12430
15-Aug-21,Media,18511
15-Aug-21,Grand Total,4595821
15-Aug-21,Household & Personal Products,166496
15-Aug-21,,"AUC as on August 15, 2021"
15-Aug-21,,
15-Aug-21,Automobiles & Auto Components,191800
15-Aug-21,Total Financial Services,1471517
15-Aug-21,Banks,846317
15-Aug-21,Other Financial Services1,625201
15-Aug-21,Capital Goods,154214
15-Aug-21,Chemicals & Petrochemicals,82471
15-Aug-21,Coal,5890
15-Aug-21,Commercial Services & Supplies,38267
15-Aug-21,Insurance,115465
15-Aug-21,Construction Materials,96414
15-Aug-21,Diversified2,14350
15-Aug-21,Diversified Consumer Services,3462
15-Aug-21,Food & Drugs Retailing,3
15-Aug-21,"Food, Beverages & Tobacco",118037
15-Aug-21,Forest Materials,2022
15-Aug-21,General Industrials,37163
15-Aug-21,Hardware Technology & Equipment,45
15-Aug-21,Healthcare Equipment & Supplies,1355
15-Aug-21,Healthcare Services,57384
15-Aug-21,"Hotels, Restaurants & Tourism",31058
15-Aug-21,Consumer Durables,128953
15-Aug-21,,
15-Aug-21,Telecommunications Equipment,273
31-Aug-21,Hardware Technology & Equipment,51
31-Aug-21,Household & Personal Products,184167
31-Aug-21,"Hotels, Restaurants & Tourism",32456
31-Aug-21,Healthcare Services,67352
31-Aug-21,Healthcare Equipment & Supplies,1444
31-Aug-21,Transportation,61009
31-Aug-21,General Industrials,37682
31-Aug-21,Forest Materials,1889
31-Aug-21,Grand Total,4789916
31-Aug-21,Insurance,121569
31-Aug-21,"Food, Beverages & Tobacco",123734
31-Aug-21,Diversified Consumer Services,3540
31-Aug-21,Diversified2,15694
31-Aug-21,Consumer Durables,135077
31-Aug-21,Construction Materials,102261
31-Aug-21,Commercial Services & Supplies,40125
31-Aug-21,Coal,5908
31-Aug-21,Chemicals & Petrochemicals,82820
31-Aug-21,Capital Goods,158995
31-Aug-21,Food & Drugs Retailing,4
31-Aug-21,Other Financial Services1,670865
31-Aug-21,Media,17470
31-Aug-21,Oil & Gas,457790
31-Aug-21,Airlines,14203
31-Aug-21,Logistics,3223
31-Aug-21,Marine Port & Services,24509
31-Aug-21,Roads & Highways,2545
31-Aug-21,Shipping,1262
31-Aug-21,Surface Transportation,81
31-Aug-21,Transport Related Services,10654
31-Aug-21,Airport Services,4531
31-Aug-21,Metals & Mining,112432
31-Aug-21,Utilities3,136793
31-Aug-21,Others4,7973
31-Aug-21,Telecommunications Equipment,298
31-Aug-21,Telecom Services,98173
31-Aug-21,Software & Services,702454
31-Aug-21,Retailing,85585
31-Aug-21,Realty,49798
31-Aug-21,Real Estate Investment,0
31-Aug-21,Pharmaceuticals & Biotechnology,177865
31-Aug-21,Sovereign,0
31-Aug-21,Banks,852223
31-Aug-21,"Textiles, Apparels & Accessories",54406
31-Aug-21,Automobiles & Auto Components,190014
31-Aug-21,,
31-Aug-21,,
31-Aug-21,Total Financial Services,1523088
31-Aug-21,,"AUC as on August 31, 2021"
15-Sep-21,Software & Services,727235
15-Sep-21,Retailing,89422
15-Sep-21,Realty,53851
15-Sep-21,Pharmaceuticals & Biotechnology,180670
15-Sep-21,Oil & Gas,464965
15-Sep-21,Metals & Mining,115356
15-Sep-21,Media,22641
15-Sep-21,Insurance,124361
15-Sep-21,Household & Personal Products,189069
15-Sep-21,,"AUC as on September 15, 2021"
15-Sep-21,,
15-Sep-21,Automobiles & Auto Components,193100
15-Sep-21,Telecom Services,110407
15-Sep-21,Total Financial Services,1531558
15-Sep-21,Banks,858412
15-Sep-21,Other Financial Services1,673146
15-Sep-21,Capital Goods,163638
15-Sep-21,Coal,6564
15-Sep-21,Commercial Services & Supplies,37895
15-Sep-21,Construction Materials,107194
15-Sep-21,Consumer Durables,145793
15-Sep-21,Diversified2,17294
15-Sep-21,Diversified Consumer Services,3988
15-Sep-21,Food & Drugs Retailing,3
15-Sep-21,,
15-Sep-21,Telecommunications Equipment,389
15-Sep-21,Real Estate Investment,0
15-Sep-21,Transportation,63672
15-Sep-21,Marine Port & Services,25199
15-Sep-21,Roads & Highways,2827
15-Sep-21,Shipping,1326
15-Sep-21,Surface Transportation,84
15-Sep-21,Transport Related Services,11326
15-Sep-21,Airport Services,5047
15-Sep-21,Utilities3,149218
15-Sep-21,"Textiles, Apparels & Accessories",58993
15-Sep-21,Others4,31527
15-Sep-21,Grand Total,4949482
15-Sep-21,"Food, Beverages & Tobacco",127576
15-Sep-21,Forest Materials,1986
15-Sep-21,General Industrials,40592
15-Sep-21,Sovereign,0
15-Sep-21,Healthcare Equipment & Supplies,1506
15-Sep-21,Hardware Technology & Equipment,57
15-Sep-21,Logistics,3230
15-Sep-21,"Hotels, Restaurants & Tourism",35271
15-Sep-21,Airlines,14633
15-Sep-21,Chemicals & Petrochemicals,86419
15-Sep-21,Healthcare Services,67270
30-Sep-21,Grand Total,4950384
30-Sep-21,Others4,31327
30-Sep-21,Sovereign,0
30-Sep-21,Utilities3,160764
30-Sep-21,Airport Services,6229
30-Sep-21,Transport Related Services,11134
30-Sep-21,Surface Transportation,83
30-Sep-21,Shipping,1368
30-Sep-21,Roads & Highways,3075
30-Sep-21,Pharmaceuticals & Biotechnology,175944
30-Sep-21,Transportation,63829
30-Sep-21,"Textiles, Apparels & Accessories",62892
30-Sep-21,Telecommunications Equipment,431
30-Sep-21,Telecom Services,116898
30-Sep-21,Software & Services,705181
30-Sep-21,Retailing,87999
30-Sep-21,Real Estate Investment,0
30-Sep-21,Airlines,14508
30-Sep-21,Logistics,3221
30-Sep-21,Marine Port & Services,24211
30-Sep-21,Realty,66609
30-Sep-21,Banks,875404
30-Sep-21,Total Financial Services,1548114
30-Sep-21,Automobiles & Auto Components,198251
30-Sep-21,,
30-Sep-21,,
30-Sep-21,,"AUC as on September 30, 2021"
30-Sep-21,Chemicals & Petrochemicals,82241
30-Sep-21,Coal,7780
30-Sep-21,Commercial Services & Supplies,35287
30-Sep-21,Construction Materials,101309
30-Sep-21,Consumer Durables,142947
30-Sep-21,Diversified2,13863
30-Sep-21,Other Financial Services1,672709
30-Sep-21,Food & Drugs Retailing,3
30-Sep-21,"Food, Beverages & Tobacco",130826
30-Sep-21,Forest Materials,2124
30-Sep-21,Diversified Consumer Services,7046
30-Sep-21,Hardware Technology & Equipment,71
30-Sep-21,General Industrials,39580
30-Sep-21,Oil & Gas,501861
30-Sep-21,Metals & Mining,107967
30-Sep-21,Media,23008
30-Sep-21,Capital Goods,132951
30-Sep-21,Household & Personal Products,182828
30-Sep-21,"Hotels, Restaurants & Tourism",35584
30-Sep-21,Healthcare Services,61480
30-Sep-21,Healthcare Equipment & Supplies,1439
30-Sep-21,Insurance,121951
15-Oct-21,Telecommunications Equipment,522
15-Oct-21,Sovereign,0
15-Oct-21,Utilities3,173654
15-Oct-21,Airport Services,7062
15-Oct-21,Transport Related Services,10646
15-Oct-21,Transportation,67419
15-Oct-21,"Textiles, Apparels & Accessories",73504
15-Oct-21,Airlines,14986
15-Oct-21,Logistics,3472
15-Oct-21,Roads & Highways,3208
15-Oct-21,Shipping,1397
15-Oct-21,Surface Transportation,98
15-Oct-21,Marine Port & Services,26551
15-Oct-21,Software & Services,706933
15-Oct-21,Others4,35083
15-Oct-21,General Industrials,41999
15-Oct-21,Hardware Technology & Equipment,86
15-Oct-21,Healthcare Equipment & Supplies,1580
15-Oct-21,Healthcare Services,61109
15-Oct-21,"Hotels, Restaurants & Tourism",41101
15-Oct-21,Household & Personal Products,182379
15-Oct-21,Forest Materials,2286
15-Oct-21,Insurance,118451
15-Oct-21,Metals & Mining,115501
15-Oct-21,Oil & Gas,535740
15-Oct-21,Pharmaceuticals & Biotechnology,179515
15-Oct-21,Real Estate Investment,0
15-Oct-21,Realty,69243
15-Oct-21,Retailing,99946
15-Oct-21,Media,23496
15-Oct-21,Telecom Services,118075
15-Oct-21,"Food, Beverages & Tobacco",136772
15-Oct-21,Diversified Consumer Services,7464
15-Oct-21,,"AUC as on October 15, 2021"
15-Oct-21,,
15-Oct-21,,
15-Oct-21,Automobiles & Auto Components,212805
15-Oct-21,Total Financial Services,1612897
15-Oct-21,Banks,916029
15-Oct-21,Food & Drugs Retailing,3
15-Oct-21,Other Financial Services1,696868
15-Oct-21,Chemicals & Petrochemicals,88776
15-Oct-21,Coal,7601
15-Oct-21,Commercial Services & Supplies,39492
15-Oct-21,Construction Materials,99047
15-Oct-21,Consumer Durables,148968
15-Oct-21,Diversified2,3908
15-Oct-21,Capital Goods,146357
15-Oct-21,Grand Total,5151713
31-Oct-21,General Industrials,39891
31-Oct-21,Surface Transportation,131
31-Oct-21,Media,22122
31-Oct-21,Insurance,114796
31-Oct-21,Household & Personal Products,167215
31-Oct-21,"Hotels, Restaurants & Tourism",32577
31-Oct-21,Healthcare Services,59581
31-Oct-21,Healthcare Equipment & Supplies,1473
31-Oct-21,Hardware Technology & Equipment,76
31-Oct-21,Forest Materials,1998
31-Oct-21,"Food, Beverages & Tobacco",128512
31-Oct-21,Food & Drugs Retailing,2
31-Oct-21,Diversified Consumer Services,6830
31-Oct-21,Diversified2,12906
31-Oct-21,Consumer Durables,137047
31-Oct-21,Construction Materials,98701
31-Oct-21,Commercial Services & Supplies,34253
31-Oct-21,Coal,7030
31-Oct-21,,"AUC as on October 31, 2021"
31-Oct-21,,
31-Oct-21,,
31-Oct-21,Automobiles & Auto Components,202455
31-Oct-21,Total Financial Services,1591280
31-Oct-21,Banks,907747
31-Oct-21,Other Financial Services1,683533
31-Oct-21,Transport Related Services,10392
31-Oct-21,Capital Goods,145455
31-Oct-21,Metals & Mining,107931
31-Oct-21,Pharmaceuticals & Biotechnology,170237
31-Oct-21,Airport Services,6599
31-Oct-21,Utilities3,166468
31-Oct-21,Sovereign,0
31-Oct-21,Others4,33634
31-Oct-21,Grand Total,4936691
31-Oct-21,Shipping,1267
31-Oct-21,Roads & Highways,2792
31-Oct-21,Marine Port & Services,22718
31-Oct-21,Logistics,3102
31-Oct-21,Airlines,15721
31-Oct-21,Transportation,62722
31-Oct-21,"Textiles, Apparels & Accessories",69294
31-Oct-21,Telecommunications Equipment,487
31-Oct-21,Telecom Services,113998
31-Oct-21,Software & Services,669578
31-Oct-21,Retailing,87975
31-Oct-21,Realty,63647
31-Oct-21,Real Estate Investment,0
31-Oct-21,Oil & Gas,504592
31-Oct-21,Chemicals & Petrochemicals,81925
15-Nov-21,Marine Port & Services,24201
15-Nov-21,Roads & Highways,2811
15-Nov-21,Sovereign,0
15-Nov-21,Shipping,1301
15-Nov-21,Surface Transportation,160
15-Nov-21,Transport Related Services,10752
15-Nov-21,Airport Services,6620
15-Nov-21,Pharmaceuticals & Biotechnology,169751
15-Nov-21,Grand Total,5106876
15-Nov-21,,"AUC as on November 15, 2021"
15-Nov-21,,
15-Nov-21,,
15-Nov-21,Automobiles & Auto Components,210139
15-Nov-21,Total Financial Services,1609755
15-Nov-21,Banks,893454
15-Nov-21,Other Financial Services1,716301
15-Nov-21,Capital Goods,156196
15-Nov-21,Chemicals & Petrochemicals,82870
15-Nov-21,Coal,7096
15-Nov-21,Commercial Services & Supplies,40458
15-Nov-21,Construction Materials,103291
15-Nov-21,Consumer Durables,142304
15-Nov-21,Diversified2,13478
15-Nov-21,Diversified Consumer Services,7109
15-Nov-21,Food & Drugs Retailing,2
15-Nov-21,"Food, Beverages & Tobacco",131627
15-Nov-21,Forest Materials,2295
15-Nov-21,General Industrials,41340
15-Nov-21,Hardware Technology & Equipment,82
15-Nov-21,Healthcare Equipment & Supplies,1460
15-Nov-21,Healthcare Services,67207
15-Nov-21,"Hotels, Restaurants & Tourism",36610
15-Nov-21,Household & Personal Products,165629
15-Nov-21,Insurance,119386
15-Nov-21,Media,24170
15-Nov-21,Metals & Mining,106404
15-Nov-21,Oil & Gas,518679
15-Nov-21,Logistics,3692
15-Nov-21,Others4,33508
15-Nov-21,Airlines,17108
15-Nov-21,Utilities3,175428
15-Nov-21,Transportation,66646
15-Nov-21,"Textiles, Apparels & Accessories",74202
15-Nov-21,Telecommunications Equipment,519
15-Nov-21,Telecom Services,121484
15-Nov-21,Software & Services,705487
15-Nov-21,Retailing,103289
15-Nov-21,Realty,68973
15-Nov-21,Real Estate Investment,0
30-Nov-21,Telecommunications Equipment,515
30-Nov-21,Telecom Services,120528
30-Nov-21,Software & Services,684150
30-Nov-21,Retailing,110919
30-Nov-21,Realty,66266
30-Nov-21,Media,23300
30-Nov-21,Pharmaceuticals & Biotechnology,166055
30-Nov-21,Oil & Gas,479683
30-Nov-21,"Textiles, Apparels & Accessories",71147
30-Nov-21,Insurance,113335
30-Nov-21,Real Estate Investment,0
30-Nov-21,Transportation,58798
30-Nov-21,Roads & Highways,2476
30-Nov-21,Logistics,3461
30-Nov-21,Marine Port & Services,21967
30-Nov-21,Household & Personal Products,159288
30-Nov-21,Shipping,1253
30-Nov-21,Grand Total,4797902
30-Nov-21,Others4,28125
30-Nov-21,Sovereign,0
30-Nov-21,Utilities3,171688
30-Nov-21,Airport Services,6215
30-Nov-21,Transport Related Services,9622
30-Nov-21,Surface Transportation,150
30-Nov-21,Airlines,13654
30-Nov-21,"Hotels, Restaurants & Tourism",34343
30-Nov-21,Metals & Mining,93596
30-Nov-21,Healthcare Equipment & Supplies,1894
